 serial number,character,token,ferquency(pre million),
2814,俞,26139,13.76952 ,
2815,豁,26107,13.75267 ,
2816,垒,26075,13.73581 ,
2817,掘,26017,13.70526 ,
2818,琦,26016,13.70473 ,
2819,屎,25988,13.68998 ,
2820,乍,25921,13.65469 ,
2821,孽,25919,13.65363 ,
2822,毯,25831,13.60728 ,
2823,弧,25808,13.59516 ,
2824,槐,25776,13.57830 ,
2825,铠,25757,13.56829 ,
2826,挟,25752,13.56566 ,
2827,襟,25730,13.55407 ,
2828,梨,25679,13.52721 ,
2829,嗅,25646,13.50982 ,
2830,祁,25566,13.46768 ,
2831,纲,25530,13.44871 ,
2832,渠,25514,13.44029 ,
2833,矢,25495,13.43028 ,
2834,捅,25436,13.39920 ,
2835,扛,25430,13.39604 ,
2836,朽,25425,13.39340 ,
2837,忖,25374,13.36654 ,
2838,匈,25364,13.36127 ,
2839,扒,25334,13.34547 ,
2840,雍,25297,13.32597 ,
2841,莺,25291,13.32281 ,
2842,侮,25279,13.31649 ,
2843,闺,25255,13.30385 ,
2844,霓,25232,13.29173 ,
2845,稽,25200,13.27488 ,
2846,斋,25200,13.27488 ,
2847,夭,25128,13.23695 ,
2848,沦,25113,13.22905 ,
2849,揍,25073,13.20798 ,
2850,瞟,25058,13.20007 ,
2851,苟,25037,13.18901 ,
2852,琉,24975,13.15635 ,
2853,漪,24948,13.14213 ,
2854,暑,24941,13.13844 ,
2855,窟,24923,13.12896 ,
2856,钓,24913,13.12369 ,
2857,鳞,24864,13.09788 ,
2858,瓷,24855,13.09314 ,
2859,萱,24846,13.08840 ,
2860,株,24834,13.08208 ,
2861,倭,24818,13.07365 ,
2862,鞘,24815,13.07207 ,
2863,沛,24758,13.04204 ,
2864,噜,24633,12.97619 ,
2865,绞,24554,12.93458 ,
2866,颓,24497,12.90455 ,
2867,睿,24474,12.89243 ,
2868,噗,24442,12.87558 ,
2869,唔,24276,12.78813 ,
2870,幢,24268,12.78392 ,
2871,喀,24238,12.76811 ,
2872,诅,24236,12.76706 ,
2873,涕,24195,12.74546 ,
2874,拣,24189,12.74230 ,
2875,谣,24186,12.74072 ,
2876,叽,24178,12.73651 ,
2877,葱,24137,12.71491 ,
2878,拭,24060,12.67435 ,
2879,婢,24051,12.66961 ,
2880,铸,24048,12.66803 ,
2881,绮,23912,12.59638 ,
2882,剿,23891,12.58532 ,
2883,胤,23866,12.57215 ,
2884,秩,23852,12.56478 ,
2885,畔,23833,12.55477 ,
2886,粥,23792,12.53317 ,
2887,奎,23789,12.53159 ,
2888,绸,23778,12.52579 ,
2889,茨,23761,12.51684 ,
2890,熏,23690,12.47944 ,
2891,蹬,23651,12.45889 ,
2892,诏,23643,12.45468 ,
2893,岔,23623,12.44414 ,
2894,叭,23566,12.41412 ,
2895,咆,23494,12.37619 ,
2896,滥,23420,12.33721 ,
2897,梧,23401,12.32720 ,
2898,垮,23378,12.31508 ,
2899,澳,23261,12.25345 ,
2900,浙,23244,12.24449 ,
2901,甸,23242,12.24344 ,
2902,绯,23150,12.19498 ,
2903,诛,23141,12.19024 ,
2904,鲍,23115,12.17654 ,
2905,刁,23103,12.17022 ,
2906,厥,23082,12.15916 ,
2907,蚊,23018,12.12544 ,
2908,鞠,23015,12.12386 ,
2909,歆,22876,12.05064 ,
2910,拙,22860,12.04221 ,
2911,茗,22789,12.00481 ,
2912,眷,22751,11.98479 ,
2913,戮,22742,11.98005 ,
2914,唬,22716,11.96635 ,
2915,骏,22698,11.95687 ,
2916,扳,22636,11.92421 ,
2917,踹,22631,11.92158 ,
2918,漓,22606,11.90841 ,
2919,蝇,22560,11.88418 ,
2920,擂,22548,11.87785 ,
2921,涡,22478,11.84098 ,
2922,沌,22474,11.83887 ,
2923,凸,22455,11.82886 ,
2924,蚩,22424,11.81253 ,
2925,酿,22424,11.81253 ,
2926,唾,22408,11.80410 ,
2927,琐,22361,11.77935 ,
2928,犀,22356,11.77671 ,
2929,澄,22349,11.77302 ,
2930,哉,22334,11.76512 ,
2931,猾,22221,11.70560 ,
2932,煎,22180,11.68400 ,
2933,窒,22175,11.68137 ,
2934,虾,22165,11.67610 ,
2935,蝠,22099,11.64133 ,
2936,钞,22089,11.63606 ,
2937,瓣,22056,11.61868 ,
2938,唧,22052,11.61657 ,
2939,觑,22005,11.59181 ,
2940,哽,21976,11.57654 ,
2941,娥,21944,11.55968 ,
2942,婿,21914,11.54388 ,
2943,讪,21892,11.53229 ,
2944,耕,21786,11.47645 ,
2945,葫,21733,11.44853 ,
2946,暧,21715,11.43905 ,
2947,浇,21700,11.43114 ,
2948,嗨,21687,11.42430 ,
2949,诵,21654,11.40691 ,
2950,疫,21652,11.40586 ,
2951,兢,21643,11.40112 ,
2952,箫,21626,11.39216 ,
2953,颅,21616,11.38689 ,
2954,啼,21533,11.34317 ,
2955,绅,21513,11.33264 ,
2956,杉,21508,11.33000 ,
2957,嗜,21476,11.31315 ,
2958,券,21437,11.29260 ,
2959,遁,21435,11.29155 ,
2960,炯,21405,11.27574 ,
2961,霎,21405,11.27574 ,
2962,讥,21392,11.26890 ,
2963,迭,21389,11.26732 ,
2964,彷,21360,11.25204 ,
2965,觅,21336,11.23940 ,
2966,娴,21333,11.23782 ,
2967,抿,21329,11.23571 ,
2968,剔,21278,11.20884 ,
2969,稻,21277,11.20832 ,
2970,敷,21263,11.20094 ,
2971,泻,21251,11.19462 ,
2972,怠,21247,11.19251 ,
2973,龚,21246,11.19199 ,
2974,绒,21218,11.17724 ,
2975,讳,21199,11.16723 ,
2976,勺,21195,11.16512 ,
2977,函,21187,11.16091 ,
2978,喳,21141,11.13667 ,
2979,颂,21103,11.11666 ,
2980,搀,21047,11.08716 ,
2981,撩,21011,11.06819 ,
2982,擎,20931,11.02605 ,
2983,巍,20904,11.01183 ,
2984,脯,20878,10.99813 ,
2985,镶,20858,10.98759 ,
2986,寥,20857,10.98707 ,
2987,漾,20836,10.97601 ,
2988,缴,20827,10.97126 ,
2989,藉,20781,10.94703 ,
2990,弊,20759,10.93544 ,
2991,逞,20757,10.93439 ,
2992,膏,20747,10.92912 ,
2993,戳,20671,10.88909 ,
2994,呛,20665,10.88593 ,
2995,凹,20644,10.87486 ,
2996,叩,20625,10.86485 ,
2997,禽,20600,10.85169 ,
2998,懊,20550,10.82535 ,
2999,懈,20521,10.81007 ,
3000,蛟,20489,10.79321 ,
3001,亢,20459,10.77741 ,
3002,呸,20447,10.77109 ,
3003,芊,20334,10.71156 ,
3004,慑,20266,10.67574 ,
3005,跺,20222,10.65256 ,
3006,跄,20209,10.64571 ,
3007,蚀,20185,10.63307 ,
3008,栖,20169,10.62464 ,
3009,蔚,20152,10.61569 ,
3010,铲,20146,10.61253 ,
3011,坪,20132,10.60515 ,
3012,筝,20129,10.60357 ,
3013,顷,20103,10.58988 ,
3014,腮,20075,10.57513 ,
3015,踉,20003,10.53720 ,
3016,狰,19977,10.52350 ,
3017,踱,19897,10.48136 ,
3018,嗖,19887,10.47609 ,
3019,苑,19838,10.45028 ,
3020,秉,19831,10.44659 ,
3021,猿,19821,10.44132 ,
3022,堤,19816,10.43869 ,
3023,佟,19785,10.42236 ,
3024,悯,19771,10.41498 ,
3025,唠,19757,10.40761 ,
3026,憨,19728,10.39233 ,
3027,肘,19724,10.39023 ,
3028,拇,19655,10.35388 ,
3029,僚,19624,10.33755 ,
3030,霹,19613,10.33175 ,
3031,婕,19606,10.32807 ,
3032,禹,19590,10.31964 ,
3033,啃,19567,10.30752 ,
3034,匀,19505,10.27486 ,
3035,晖,19478,10.26064 ,
3036,怅,19456,10.24905 ,
3037,聋,19397,10.21797 ,
3038,拯,19388,10.21323 ,
3039,忿,19358,10.19742 ,
3040,韧,19327,10.18109 ,
3041,邹,19321,10.17793 ,
3042,梢,19244,10.13737 ,
3043,肋,19237,10.13368 ,
3044,窘,19223,10.12631 ,
3045,嵌,19221,10.12525 ,
3046,婪,19194,10.11103 ,
3047,辖,19178,10.10260 ,
3048,浦,19174,10.10050 ,
3049,炭,19147,10.08627 ,
3050,曦,19125,10.07468 ,
3051,簇,19096,10.05941 ,
3052,螺,19077,10.04940 ,
3053,酱,19063,10.04202 ,
3054,屯,19049,10.03465 ,
3055,悴,19029,10.02411 ,
3056,匡,18999,10.00831 ,
3057,冀,18988,10.00251 ,
3058,橙,18984,10.00041 ,
3059,倔,18984,10.00041 ,
3060,陕,18975,9.99567 ,
3061,筱,18974,9.99514 ,
3062,叱,18954,9.98460 ,
3063,髓,18935,9.97460 ,
3064,淳,18919,9.96617 ,
3065,矜,18885,9.94826 ,
3066,詹,18852,9.93087 ,
3067,菱,18846,9.92771 ,
3068,芷,18836,9.92244 ,
3069,惺,18833,9.92086 ,
3070,浊,18800,9.90348 ,
3071,囔,18778,9.89189 ,
3072,朔,18750,9.87714 ,
3073,憔,18746,9.87503 ,
3074,睫,18742,9.87293 ,
3075,睬,18741,9.87240 ,
3076,鸽,18712,9.85712 ,
3077,臀,18687,9.84395 ,
3078,吨,18670,9.83500 ,
3079,笙,18633,9.81551 ,
3080,戟,18632,9.81498 ,
3081,沼,18625,9.81129 ,
3082,谍,18611,9.80392 ,
3083,昕,18598,9.79707 ,
3084,蛊,18584,9.78970 ,
3085,煜,18582,9.78864 ,
3086,祀,18571,9.78285 ,
3087,罡,18553,9.77336 ,
3088,伶,18546,9.76968 ,
3089,荫,18542,9.76757 ,
3090,酥,18511,9.75124 ,
3091,懦,18464,9.72648 ,
3092,厄,18380,9.68223 ,
3093,峨,18374,9.67907 ,
3094,轴,18321,9.65115 ,
3095,伽,18295,9.63746 ,
3096,雳,18289,9.63429 ,
3097,卵,18272,9.62534 ,
3098,捶,18237,9.60690 ,
3099,檐,18211,9.59321 ,
3100,棘,18152,9.56213 ,
3101,嗣,18110,9.54000 ,
3102,钗,18040,9.50313 ,
3103,袜,18039,9.50260 ,
3104,妩,18020,9.49259 ,
3105,炕,18018,9.49154 ,
3106,偎,18007,9.48574 ,
3107,窦,17985,9.47415 ,
3108,蝎,17947,9.45414 ,
3109,溶,17932,9.44623 ,
3110,幺,17926,9.44307 ,
3111,膨,17894,9.42622 ,
3112,峙,17869,9.41305 ,
3113,缉,17853,9.40462 ,
3114,徊,17842,9.39882 ,
3115,呗,17817,9.38565 ,
3116,衅,17813,9.38355 ,
3117,砂,17805,9.37933 ,
3118,舵,17755,9.35299 ,
3119,昼,17728,9.33877 ,
3120,迸,17662,9.30400 ,
3121,斟,17602,9.27240 ,
3122,舆,17587,9.26449 ,
3123,椒,17541,9.24026 ,
3124,靓,17479,9.20760 ,
3125,旬,17475,9.20550 ,
3126,厘,17464,9.19970 ,
3127,窑,17450,9.19233 ,
3128,萎,17426,9.17968 ,
3129,涟,17410,9.17125 ,
3130,疙,17365,9.14755 ,
3131,芠,17349,9.13912 ,
3132,瘩,17347,9.13807 ,
3133,梵,17305,9.11594 ,
3134,靴,17283,9.10435 ,
3135,侥,17262,9.09329 ,
3136,匿,17242,9.08276 ,
3137,挚,17228,9.07538 ,
3138,镯,17202,9.06168 ,
3139,兑,17197,9.05905 ,
3140,尧,17147,9.03271 ,
3141,徘,17122,9.01954 ,
3142,芽,17121,9.01901 ,
3143,狙,17116,9.01638 ,
3144,闵,17114,9.01533 ,
3145,辫,17059,8.98635 ,
3146,瀑,17047,8.98003 ,
3147,嗷,17032,8.97213 ,
3148,庐,17027,8.96950 ,
3149,芯,17023,8.96739 ,
3150,禾,16993,8.95159 ,
3151,澎,16976,8.94263 ,
3152,邢,16955,8.93157 ,
3153,绊,16942,8.92472 ,
3154,蜘,16934,8.92051 ,
3155,憎,16932,8.91945 ,
3156,靡,16931,8.91893 ,
3157,褚,16900,8.90260 ,
3158,湛,16846,8.87415 ,
3159,蒲,16804,8.85203 ,
3160,嚓,16791,8.84518 ,
3161,珂,16769,8.83359 ,
3162,崽,16768,8.83306 ,
3163,贬,16755,8.82621 ,
3164,惮,16732,8.81410 ,
3165,婵,16719,8.80725 ,
3166,嗒,16686,8.78987 ,
3167,悸,16672,8.78249 ,
3168,晦,16662,8.77722 ,
3169,涅,16639,8.76511 ,
3170,恬,16632,8.76142 ,
3171,慷,16623,8.75668 ,
3172,穹,16599,8.74404 ,
3173,渣,16543,8.71454 ,
3174,屉,16514,8.69926 ,
3175,缭,16457,8.66923 ,
3176,绢,16444,8.66238 ,
3177,嬴,16436,8.65817 ,
3178,袱,16411,8.64500 ,
3179,黝,16397,8.63763 ,
3180,袅,16381,8.62920 ,
3181,淇,16379,8.62814 ,
3182,茄,16373,8.62498 ,
3183,寅,16337,8.60602 ,
3184,赦,16333,8.60391 ,
3185,悻,16292,8.58231 ,
3186,祟,16287,8.57968 ,
3187,榻,16283,8.57757 ,
3188,蛙,16283,8.57757 ,
3189,苇,16237,8.55334 ,
3190,嵩,16210,8.53912 ,
3191,茉,16199,8.53332 ,
3192,唰,16179,8.52279 ,
3193,咏,16144,8.50435 ,
3194,凿,16089,8.47538 ,
3195,粪,16072,8.46642 ,
3196,噪,16010,8.43376 ,
3197,菌,16008,8.43271 ,
3198,蝙,16004,8.43060 ,
3199,庶,15986,8.42112 ,
3200,邸,15950,8.40215 ,
3201,晟,15923,8.38793 ,
3202,禧,15854,8.35158 ,
3203,攒,15835,8.34157 ,
3204,旱,15826,8.33683 ,
3205,虔,15826,8.33683 ,
3206,琛,15726,8.28416 ,
3207,榴,15726,8.28416 ,
3208,漱,15713,8.27731 ,
3209,忑,15706,8.27362 ,
3210,匣,15699,8.26993 ,
3211,忐,15677,8.25834 ,
3212,谬,15676,8.25782 ,
3213,蟒,15665,8.25202 ,
3214,棱,15662,8.25044 ,
3215,钝,15645,8.24149 ,
3216,悚,15579,8.20672 ,
3217,廓,15567,8.20040 ,
3218,惘,15566,8.19987 ,
3219,漉,15539,8.18565 ,
3220,蟹,15529,8.18038 ,
3221,佬,15514,8.17248 ,
3222,曳,15503,8.16668 ,
3223,赎,15491,8.16036 ,
3224,壤,15483,8.15615 ,
3225,忡,15459,8.14350 ,
3226,倡,15456,8.14192 ,
3227,冶,15455,8.14140 ,
3228,姝,15426,8.12612 ,
3229,筠,15378,8.10084 ,
3230,竿,15347,8.08451 ,
3231,蜷,15341,8.08134 ,
3232,癌,15319,8.06976 ,
3233,嘈,15262,8.03973 ,
3234,蚕,15234,8.02498 ,
3235,剖,15232,8.02393 ,
3236,颁,15165,7.98863 ,
3237,缀,15121,7.96545 ,
3238,汀,15090,7.94912 ,
3239,谕,15061,7.93385 ,
3240,牡,15032,7.91857 ,
3241,斐,15019,7.91172 ,
3242,懵,15002,7.90277 ,
3243,皙,14920,7.85957 ,
3244,缪,14901,7.84956 ,
3245,蔷,14896,7.84693 ,
3246,诫,14892,7.84482 ,
3247,恤,14830,7.81216 ,
3248,咄,14825,7.80953 ,
3249,馒,14818,7.80584 ,
3250,矫,14800,7.79636 ,
3251,痞,14766,7.77845 ,
3252,橘,14755,7.77265 ,
3253,氧,14746,7.76791 ,
3254,贿,14729,7.75895 ,
3255,肮,14717,7.75263 ,
3256,瑾,14682,7.73420 ,
3257,璧,14608,7.69521 ,
3258,烙,14608,7.69521 ,
3259,攘,14580,7.68046 ,
3260,攥,14543,7.66097 ,
3261,汰,14511,7.64412 ,
3262,溺,14495,7.63569 ,
3263,铅,14443,7.60830 ,
3264,咔,14414,7.59302 ,
3265,芭,14409,7.59039 ,
3266,戎,14391,7.58090 ,
3267,褐,14390,7.58038 ,
3268,巩,14361,7.56510 ,
3269,吆,14326,7.54666 ,
3270,彰,14222,7.49188 ,
3271,漩,14215,7.48819 ,
3272,聆,14208,7.48450 ,
3273,蒜,14174,7.46659 ,
3274,棕,14156,7.45711 ,
3275,鹃,14136,7.44657 ,
3276,帜,14102,7.42866 ,
3277,鄂,14061,7.40707 ,
3278,搐,14053,7.40285 ,
3279,蔼,14033,7.39232 ,
3280,怦,14012,7.38125 ,
3281,穗,13995,7.37230 ,
3282,亩,13986,7.36756 ,
3283,撰,13976,7.36229 ,
3284,绎,13969,7.35860 ,
3285,牟,13962,7.35491 ,
3286,咨,13954,7.35070 ,
3287,奄,13947,7.34701 ,
3288,梓,13927,7.33648 ,
3289,绚,13848,7.29486 ,
3290,阀,13821,7.28064 ,
3291,烘,13793,7.26589 ,
3292,炙,13778,7.25799 ,
3293,翎,13767,7.25219 ,
3294,惋,13737,7.23639 ,
3295,驯,13729,7.23217 ,
3296,栩,13693,7.21321 ,
3297,逾,13686,7.20952 ,
3298,墟,13672,7.20215 ,
3299,鬟,13671,7.20162 ,
3300,茬,13642,7.18634 ,
3301,褪,13537,7.13103 ,
3302,鑫,13522,7.12313 ,
3303,骸,13516,7.11997 ,
3304,峭,13505,7.11418 ,
3305,缅,13481,7.10153 ,
3306,灶,13458,7.08942 ,
3307,洽,13409,7.06360 ,
3308,祯,13395,7.05623 ,
3309,暄,13336,7.02515 ,
3310,裔,13332,7.02304 ,
3311,韶,13303,7.00777 ,
3312,缎,13277,6.99407 ,
3313,砚,13267,6.98880 ,
3314,锥,13235,6.97194 ,
3315,辙,13190,6.94824 ,
3316,惦,13189,6.94771 ,
3317,铛,13183,6.94455 ,
3318,枣,13173,6.93928 ,
3319,桦,13149,6.92664 ,
3320,邃,13142,6.92295 ,
3321,橱,13139,6.92137 ,
3322,搔,13130,6.91663 ,
3323,腑,13129,6.91611 ,
3324,萤,13116,6.90926 ,
3325,枢,13115,6.90873 ,
3326,遏,13099,6.90030 ,
3327,募,13095,6.89820 ,
3328,憬,13093,6.89714 ,
3329,庵,13087,6.89398 ,
3330,叼,13048,6.87344 ,
3331,嫖,13042,6.87028 ,
3332,苛,13000,6.84815 ,
3333,锣,12995,6.84552 ,
3334,蹑,12942,6.81760 ,
3335,拌,12927,6.80970 ,
3336,奠,12902,6.79653 ,
3337,秽,12887,6.78862 ,
3338,殴,12875,6.78230 ,
3339,喋,12871,6.78020 ,
3340,糙,12840,6.76387 ,
3341,貂,12832,6.75965 ,
3342,揖,12821,6.75386 ,
3343,葵,12818,6.75228 ,
3344,榆,12802,6.74385 ,
3345,颐,12797,6.74121 ,
3346,皂,12776,6.73015 ,
3347,眈,12773,6.72857 ,
3348,扼,12762,6.72278 ,
3349,眺,12749,6.71593 ,
3350,孜,12741,6.71171 ,
3351,簌,12731,6.70645 ,
3352,玺,12725,6.70329 ,
3353,偌,12710,6.69538 ,
3354,蹿,12631,6.65377 ,
3355,蓓,12618,6.64692 ,
3356,弛,12591,6.63270 ,
3357,庇,12566,6.61953 ,
3358,檀,12516,6.59319 ,
3359,枭,12512,6.59108 ,
3360,螂,12502,6.58581 ,
3361,趾,12471,6.56948 ,
3362,崭,12461,6.56422 ,
3363,妲,12460,6.56369 ,
3364,掂,12450,6.55842 ,
3365,醇,12444,6.55526 ,
3366,掺,12439,6.55263 ,
3367,驿,12436,6.55105 ,
3368,槽,12412,6.53840 ,
3369,惬,12404,6.53419 ,
3370,镰,12380,6.52155 ,
3371,抡,12347,6.50416 ,
3372,憧,12337,6.49890 ,
3373,删,12335,6.49784 ,
3374,鸳,12321,6.49047 ,
3375,酣,12314,6.48678 ,
3376,宦,12302,6.48046 ,
3377,筐,12286,6.47203 ,
3378,琅,12283,6.47045 ,
3379,瞻,12261,6.45886 ,
3380,焱,12242,6.44885 ,
3381,飙,12231,6.44306 ,
3382,湃,12221,6.43779 ,
3383,俨,12202,6.42778 ,
3384,跷,12194,6.42357 ,
3385,栅,12177,6.41461 ,
3386,撅,12167,6.40934 ,
3387,煽,12159,6.40513 ,
3388,呱,12127,6.38827 ,
3389,缰,12118,6.38353 ,
3390,猝,12077,6.36193 ,
3391,衮,12074,6.36035 ,
3392,肴,12069,6.35772 ,
3393,殆,12048,6.34666 ,
3394,谴,12039,6.34191 ,
3395,蔬,12038,6.34139 ,
3396,飒,12008,6.32558 ,
3397,婧,11970,6.30557 ,
3398,阐,11957,6.29872 ,
3399,荧,11955,6.29766 ,
3400,侈,11948,6.29398 ,
3401,霏,11940,6.28976 ,
3402,瘟,11924,6.28133 ,
3403,芜,11922,6.28028 ,
3404,俭,11871,6.25342 ,
3405,崎,11863,6.24920 ,
3406,亥,11845,6.23972 ,
3407,俐,11827,6.23024 ,
3408,屿,11826,6.22971 ,
3409,譬,11807,6.21970 ,
3410,饺,11790,6.21075 ,
3411,垄,11782,6.20653 ,
3412,畴,11750,6.18967 ,
3413,杠,11743,6.18599 ,
3414,鬓,11728,6.17809 ,
3415,讼,11726,6.17703 ,
3416,晏,11688,6.15701 ,
3417,弈,11679,6.15227 ,
3418,鞍,11579,6.09960 ,
3419,瘸,11577,6.09854 ,
3420,钮,11556,6.08748 ,
3421,珏,11522,6.06957 ,
3422,钰,11516,6.06641 ,
3423,傀,11508,6.06219 ,
3424,噔,11503,6.05956 ,
3425,驭,11486,6.05060 ,
3426,靶,11461,6.03744 ,
3427,萦,11437,6.02479 ,
3428,韬,11434,6.02321 ,
3429,恙,11433,6.02269 ,
3430,懿,11429,6.02058 ,
3431,竺,11419,6.01531 ,
3432,吝,11418,6.01478 ,
3433,羁,11396,6.00319 ,
3434,荀,11378,5.99371 ,
3435,癫,11357,5.98265 ,
3436,嘭,11327,5.96685 ,
3437,菇,11316,5.96105 ,
3438,恃,11258,5.93050 ,
3439,瘪,11246,5.92418 ,
3440,儡,11246,5.92418 ,
3441,踌,11238,5.91996 ,
3442,呦,11228,5.91470 ,
3443,榕,11223,5.91206 ,
3444,昵,11208,5.90416 ,
3445,躇,11200,5.89995 ,
3446,烬,11199,5.89942 ,
3447,啰,11175,5.88678 ,
3448,酌,11174,5.88625 ,
3449,丙,11170,5.88414 ,
3450,涎,11149,5.87308 ,
3451,哒,11140,5.86834 ,
3452,冽,11108,5.85148 ,
3453,鸾,11088,5.84095 ,
3454,砌,11088,5.84095 ,
3455,烨,11080,5.83673 ,
3456,翟,11050,5.82093 ,
3457,辗,11050,5.82093 ,
3458,噎,11030,5.81039 ,
3459,驹,11020,5.80512 ,
3460,噼,11014,5.80196 ,
3461,咎,11012,5.80091 ,
3462,亵,11009,5.79933 ,
3463,陨,11006,5.79775 ,
3464,蠕,11004,5.79670 ,
3465,冕,10994,5.79143 ,
3466,雌,10979,5.78353 ,
3467,茸,10963,5.77510 ,
3468,瑛,10948,5.76720 ,
3469,剃,10941,5.76351 ,
3470,掰,10932,5.75877 ,
3471,蹙,10904,5.74402 ,
3472,橡,10887,5.73506 ,
3473,佯,10873,5.72769 ,
3474,笃,10832,5.70609 ,
3475,崛,10826,5.70293 ,
3476,勘,10761,5.66869 ,
3477,稼,10734,5.65447 ,
3478,桀,10702,5.63761 ,
3479,渝,10653,5.61180 ,
3480,拚,10652,5.61127 ,
3481,汐,10645,5.60758 ,
3482,锈,10628,5.59863 ,
3483,磅,10605,5.58651 ,
3484,壕,10556,5.56070 ,
3485,娄,10553,5.55912 ,
3486,撮,10534,5.54911 ,
3487,玑,10523,5.54331 ,
3488,祠,10484,5.52277 ,
3489,鹫,10470,5.51540 ,
3490,娲,10470,5.51540 ,
3491,黏,10465,5.51276 ,
3492,珀,10455,5.50749 ,
3493,睽,10448,5.50381 ,
3494,栓,10429,5.49380 ,
3495,绫,10425,5.49169 ,
3496,阑,10423,5.49064 ,
3497,邑,10420,5.48906 ,
3498,瑕,10419,5.48853 ,
3499,磋,10397,5.47694 ,
3500,粟,10358,5.45640 ,
3501,薯,10341,5.44744 ,
3502,沪,10326,5.43954 ,
3503,讷,10324,5.43849 ,
3504,岑,10316,5.43427 ,
3505,炜,10301,5.42637 ,
3506,玮,10284,5.41741 ,
3507,娼,10278,5.41425 ,
3508,迂,10277,5.41373 ,
3509,伎,10269,5.40951 ,
3510,鲸,10246,5.39740 ,
3511,翡,10243,5.39582 ,
3512,坝,10236,5.39213 ,
3513,铐,10235,5.39160 ,
3514,洼,10233,5.39055 ,
3515,蹊,10230,5.38897 ,
3516,寐,10214,5.38054 ,
3517,肾,10212,5.37949 ,
3518,鸯,10164,5.35420 ,
3519,這,10162,5.35315 ,
3520,敝,10151,5.34735 ,
3521,涧,10131,5.33682 ,
3522,崆,10115,5.32839 ,
3523,甭,10111,5.32628 ,
3524,笠,10084,5.31206 ,
3525,扈,10073,5.30626 ,
3526,哝,10044,5.29099 ,
3527,芮,10037,5.28730 ,
3528,卉,10030,5.28361 ,
3529,靳,10010,5.27308 ,
3530,诬,9995,5.26517 ,
3531,札,9993,5.26412 ,
3532,婊,9991,5.26307 ,
3533,裘,9991,5.26307 ,
3534,扉,9977,5.25569 ,
3535,疮,9968,5.25095 ,
3536,巅,9967,5.25042 ,
3537,坞,9944,5.23831 ,
3538,膳,9913,5.22198 ,
3539,剌,9911,5.22092 ,
3540,鳄,9891,5.21039 ,
3541,捺,9881,5.20512 ,
3542,悼,9880,5.20459 ,
3543,茧,9861,5.19459 ,
3544,毋,9854,5.19090 ,
3545,曙,9845,5.18616 ,
3546,馅,9845,5.18616 ,
3547,簸,9837,5.18194 ,
3548,忒,9833,5.17984 ,
3549,妳,9800,5.16245 ,
3550,叟,9797,5.16087 ,
3551,拴,9790,5.15718 ,
3552,嬷,9757,5.13980 ,
3553,稣,9756,5.13927 ,
3554,痹,9748,5.13506 ,
3555,垣,9743,5.13243 ,
3556,蛤,9735,5.12821 ,
3557,谏,9725,5.12294 ,
3558,羹,9720,5.12031 ,
3559,沥,9716,5.11820 ,
3560,蛾,9694,5.10661 ,
3561,瑚,9681,5.09977 ,
3562,個,9663,5.09028 ,
3563,熔,9661,5.08923 ,
3564,惆,9648,5.08238 ,
3565,雏,9648,5.08238 ,
3566,饷,9645,5.08080 ,
3567,拗,9593,5.05341 ,
3568,燎,9587,5.05025 ,
3569,熠,9579,5.04603 ,
3570,薰,9574,5.04340 ,
3571,蕃,9570,5.04129 ,
3572,捋,9568,5.04024 ,
3573,籁,9564,5.03813 ,
3574,髦,9531,5.02075 ,
3575,飓,9487,4.99757 ,
3576,簿,9481,4.99441 ,
3577,迢,9447,4.97650 ,
3578,汩,9441,4.97334 ,
3579,闸,9438,4.97176 ,
3580,狩,9422,4.96333 ,
3581,鲨,9416,4.96017 ,
3582,蜥,9410,4.95701 ,
3583,惴,9403,4.95332 ,
3584,胯,9397,4.95016 ,
3585,侨,9375,4.93857 ,
3586,劭,9369,4.93541 ,
3587,烹,9367,4.93436 ,
3588,咣,9351,4.92593 ,
3589,攸,9343,4.92171 ,
3590,锄,9338,4.91908 ,
3591,硝,9321,4.91012 ,
3592,颔,9307,4.90275 ,
3593,鸥,9276,4.88642 ,
3594,滕,9254,4.87483 ,
3595,寰,9242,4.86851 ,
3596,紊,9236,4.86535 ,
3597,蕉,9223,4.85850 ,
3598,稠,9216,4.85481 ,
3599,蟆,9205,4.84902 ,
3600,垢,9175,4.83321 ,
3601,楷,9165,4.82795 ,
3602,炊,9154,4.82215 ,
3603,忻,9151,4.82057 ,
3604,炳,9133,4.81109 ,
3605,腆,9132,4.81056 ,
3606,褒,9130,4.80951 ,
3607,酋,9128,4.80846 ,
3608,赃,9126,4.80740 ,
3609,拈,9106,4.79687 ,
3610,抒,9105,4.79634 ,
3611,孰,9098,4.79265 ,
3612,袄,9096,4.79160 ,
3613,褂,9095,4.79107 ,
3614,孺,9093,4.79002 ,
3615,胭,9088,4.78738 ,
3616,赘,9084,4.78528 ,
3617,嫡,9082,4.78422 ,
3618,礁,9082,4.78422 ,
3619,珉,9079,4.78264 ,
3620,啜,9057,4.77105 ,
3621,钳,9039,4.76157 ,
3622,晾,9012,4.74735 ,
3623,茎,9007,4.74472 ,
3624,隧,9003,4.74261 ,
3625,窿,9002,4.74208 ,
3626,骋,8977,4.72891 ,
3627,嫦,8971,4.72575 ,
3628,槛,8970,4.72522 ,
3629,掳,8970,4.72522 ,
3630,莞,8969,4.72470 ,
